scope,return_model,block,regression,variable,beta,se,t,sig,n,clusters,r2,adj_r2
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","DAILY (condscore_fin_max, two-way)",intercept,-0.042611,0.065516,-0.65,,62022,,0.001,0.001
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","DAILY (condscore_fin_max, two-way)",w_ij,-1.94441,1.666826,-1.17,,62022,,0.001,0.001
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","DAILY (condscore_fin_max, two-way)",w_x_cond_score_fin_max,-18.753743,2.983021,-6.29,***,62022,,0.001,0.001
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","DAILY (condscore_fin_max, two-way)",same_sector,0.099623,0.067214,1.48,,62022,,0.001,0.001
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","MONTHLY (condscore_fin_max, +12)",intercept,0.013182,0.010964,1.2,,72398,"175,",0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","MONTHLY (condscore_fin_max, +12)",w_ij,-0.048519,0.293438,-0.17,,72398,"175,",0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","MONTHLY (condscore_fin_max, +12)",w_x_cond_score_fin_max,-0.497065,0.353079,-1.41,,72398,"175,",0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","MONTHLY (condscore_fin_max, +12)",same_sector,0.034026,0.012888,2.64,***,72398,"175,",0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","MONTHLY (condscore_fin_max, +12, two-way)",intercept,0.013182,0.026479,0.5,,72398,,0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","MONTHLY (condscore_fin_max, +12, two-way)",w_ij,-0.048519,0.591911,-0.08,,72398,,0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","MONTHLY (condscore_fin_max, +12, two-way)",w_x_cond_score_fin_max,-0.497065,0.726101,-0.68,,72398,,0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","MONTHLY (condscore_fin_max, +12, two-way)",same_sector,0.034026,0.02601,1.31,,72398,,0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","MONTHLY (condscore_fin_max, +6)",intercept,-0.003875,0.007792,-0.5,,72398,"175,",0.0004,0.0004
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","MONTHLY (condscore_fin_max, +6)",w_ij,0.136645,0.172937,0.79,,72398,"175,",0.0004,0.0004
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","MONTHLY (condscore_fin_max, +6)",w_x_cond_score_fin_max,0.288423,0.221031,1.3,,72398,"175,",0.0004,0.0004
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","MONTHLY (condscore_fin_max, +6)",same_sector,0.025301,0.00819,3.09,***,72398,"175,",0.0004,0.0004
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","MONTHLY (condscore_fin_max, +3)",intercept,0.00418,0.005504,0.76,,72398,"175,",0.0008,0.0008
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","MONTHLY (condscore_fin_max, +3)",w_ij,0.404062,0.127133,3.18,***,72398,"175,",0.0008,0.0008
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","MONTHLY (condscore_fin_max, +3)",w_x_cond_score_fin_max,-0.10927,0.163432,-0.67,,72398,"175,",0.0008,0.0008
"first_mover (n=179, announcements=179)",VWRETD,"CONTINUOUS CONDSCORE (alpha+financials, max-normalized) (alpha_only, vwretd)","MONTHLY (condscore_fin_max, +3)",same_sector,0.021448,0.004936,4.34,***,72398,"175,",0.0008,0.0008
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)",DAILY (interaction z-scored),intercept,-0.042736,0.017337,-2.47,**,62022,"178,",0.001,0.001
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)",DAILY (interaction z-scored),w_ij,-1.94441,0.589285,-3.3,***,62022,"178,",0.001,0.001
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)",DAILY (interaction z-scored),w_x_condscore_fin_iz,-0.007217,0.000507,-14.23,***,62022,"178,",0.001,0.001
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)",DAILY (interaction z-scored),same_sector,0.099623,0.016473,6.05,***,62022,"178,",0.001,0.001
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","DAILY (interaction z-scored, two-way)",intercept,-0.042736,0.0655,-0.65,,62022,,0.001,0.001
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","DAILY (interaction z-scored, two-way)",w_ij,-1.94441,1.666826,-1.17,,62022,,0.001,0.001
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","DAILY (interaction z-scored, two-way)",w_x_condscore_fin_iz,-0.007217,0.001148,-6.29,***,62022,,0.001,0.001
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","DAILY (interaction z-scored, two-way)",same_sector,0.099623,0.067214,1.48,,62022,,0.001,0.001
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","MONTHLY (interaction z-scored, +12)",intercept,0.013171,0.010965,1.2,,72398,"175,",0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","MONTHLY (interaction z-scored, +12)",w_ij,-0.048519,0.293438,-0.17,,72398,"175,",0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","MONTHLY (interaction z-scored, +12)",w_x_condscore_fin_iz,-0.000552,0.000392,-1.41,,72398,"175,",0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","MONTHLY (interaction z-scored, +12)",same_sector,0.034026,0.012888,2.64,***,72398,"175,",0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","MONTHLY (interaction z-scored, +12, two-way)",intercept,0.013171,0.026476,0.5,,72398,,0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","MONTHLY (interaction z-scored, +12, two-way)",w_ij,-0.048519,0.591911,-0.08,,72398,,0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","MONTHLY (interaction z-scored, +12, two-way)",w_x_condscore_fin_iz,-0.000552,0.000807,-0.68,,72398,,0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","MONTHLY (interaction z-scored, +12, two-way)",same_sector,0.034026,0.02601,1.31,,72398,,0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","MONTHLY (interaction z-scored, +6)",intercept,-0.003869,0.007792,-0.5,,72398,"175,",0.0004,0.0004
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","MONTHLY (interaction z-scored, +6)",w_ij,0.136645,0.172937,0.79,,72398,"175,",0.0004,0.0004
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","MONTHLY (interaction z-scored, +6)",w_x_condscore_fin_iz,0.00032,0.000246,1.3,,72398,"175,",0.0004,0.0004
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","MONTHLY (interaction z-scored, +6)",same_sector,0.025301,0.00819,3.09,***,72398,"175,",0.0004,0.0004
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","MONTHLY (interaction z-scored, +3)",intercept,0.004178,0.005503,0.76,,72398,"175,",0.0008,0.0008
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","MONTHLY (interaction z-scored, +3)",w_ij,0.404062,0.127133,3.18,***,72398,"175,",0.0008,0.0008
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","MONTHLY (interaction z-scored, +3)",w_x_condscore_fin_iz,-0.000121,0.000182,-0.67,,72398,"175,",0.0008,0.0008
"first_mover (n=179, announcements=179)",VWRETD,"INTERACTION Z-SCORED: z(w_ij x CondScoreFin) (alpha_only, vwretd)","MONTHLY (interaction z-scored, +3)",same_sector,0.021448,0.004936,4.34,***,72398,"175,",0.0008,0.0008
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)",DAILY (alpha_slope),intercept,-0.087332,0.046691,-1.87,*,19495,"178,",0.0036,0.0034
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)",DAILY (alpha_slope),w_ij,-5.487008,1.910668,-2.87,***,19495,"178,",0.0036,0.0034
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)",DAILY (alpha_slope),w_x_alpha_slope_z,9.603306,4.814704,1.99,**,19495,"178,",0.0036,0.0034
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)",DAILY (alpha_slope),same_sector,0.138738,0.041321,3.36,***,19495,"178,",0.0036,0.0034
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","DAILY (alpha_slope, two-way)",intercept,-0.087332,0.180898,-0.48,,19495,,0.0036,0.0034
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","DAILY (alpha_slope, two-way)",w_ij,-5.487008,3.857134,-1.42,,19495,,0.0036,0.0034
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","DAILY (alpha_slope, two-way)",w_x_alpha_slope_z,9.603306,4.557984,2.11,**,19495,,0.0036,0.0034
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","DAILY (alpha_slope, two-way)",same_sector,0.138738,0.174073,0.8,,19495,,0.0036,0.0034
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","MONTHLY (alpha_slope, +12)",intercept,0.039108,0.020008,1.95,*,20295,"175,",0.0005,0.0004
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","MONTHLY (alpha_slope, +12)",w_ij,0.226096,0.359532,0.63,,20295,"175,",0.0005,0.0004
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","MONTHLY (alpha_slope, +12)",w_x_alpha_slope_z,-0.571471,0.312412,-1.83,*,20295,"175,",0.0005,0.0004
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","MONTHLY (alpha_slope, +12)",same_sector,0.040937,0.020862,1.96,**,20295,"175,",0.0005,0.0004
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","MONTHLY (alpha_slope, +12, two-way)",intercept,0.039108,0.060878,0.64,,20295,,0.0005,0.0004
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","MONTHLY (alpha_slope, +12, two-way)",w_ij,0.226096,0.754275,0.3,,20295,,0.0005,0.0004
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","MONTHLY (alpha_slope, +12, two-way)",w_x_alpha_slope_z,-0.571471,0.600725,-0.95,,20295,,0.0005,0.0004
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","MONTHLY (alpha_slope, +12, two-way)",same_sector,0.040937,0.056482,0.72,,20295,,0.0005,0.0004
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","MONTHLY (alpha_slope, +6)",intercept,0.009223,0.011576,0.8,,20295,"175,",0.0008,0.0007
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","MONTHLY (alpha_slope, +6)",w_ij,0.129814,0.198986,0.65,,20295,"175,",0.0008,0.0007
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","MONTHLY (alpha_slope, +6)",w_x_alpha_slope_z,-0.040966,0.189677,-0.22,,20295,"175,",0.0008,0.0007
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","MONTHLY (alpha_slope, +6)",same_sector,0.029053,0.011812,2.46,**,20295,"175,",0.0008,0.0007
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","MONTHLY (alpha_slope, +3)",intercept,0.015099,0.007428,2.03,**,20295,"175,",0.0008,0.0007
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","MONTHLY (alpha_slope, +3)",w_ij,0.337375,0.142713,2.36,**,20295,"175,",0.0008,0.0007
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","MONTHLY (alpha_slope, +3)",w_x_alpha_slope_z,-0.253946,0.161504,-1.57,,20295,"175,",0.0008,0.0007
"first_mover (n=179, announcements=179)",VWRETD,"ALPHA TRAJECTORY (pre-event slope) (alpha_only, vwretd)","MONTHLY (alpha_slope, +3)",same_sector,0.017284,0.007054,2.45,**,20295,"175,",0.0008,0.0007
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),DAILY (extended),intercept,-0.036489,0.017737,-2.06,**,62022,"178,",0.0013,0.0013
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),DAILY (extended),w_ij,-2.187176,0.655052,-3.34,***,62022,"178,",0.0013,0.0013
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),DAILY (extended),conditional,-0.103738,0.015091,-6.87,***,62022,"178,",0.0013,0.0013
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),DAILY (extended),w_x_cond,2.507454,0.881092,2.85,***,62022,"178,",0.0013,0.0013
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),DAILY (extended),same_sector,0.101923,0.016464,6.19,***,62022,"178,",0.0013,0.0013
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"DAILY (extended, two-way)",intercept,-0.036489,0.067829,-0.54,,62022,,0.0013,0.0013
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"DAILY (extended, two-way)",w_ij,-2.187176,1.847998,-1.18,,62022,,0.0013,0.0013
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"DAILY (extended, two-way)",conditional,-0.103738,0.071574,-1.45,,62022,,0.0013,0.0013
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"DAILY (extended, two-way)",w_x_cond,2.507454,2.084857,1.2,,62022,,0.0013,0.0013
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"DAILY (extended, two-way)",same_sector,0.101923,0.067556,1.51,,62022,,0.0013,0.0013
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +12)",intercept,0.012393,0.011002,1.13,,72398,"175,",0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +12)",w_ij,-0.130003,0.283832,-0.46,,72398,"175,",0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +12)",conditional,0.014323,0.008783,1.63,,72398,"175,",0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +12)",w_x_cond,0.629159,0.907092,0.69,,72398,"175,",0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +12)",same_sector,0.033749,0.01289,2.62,***,72398,"175,",0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +12, two-way)",intercept,0.012393,0.027392,0.45,,72398,,0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +12, two-way)",w_ij,-0.130003,0.604137,-0.22,,72398,,0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +12, two-way)",conditional,0.014323,0.042521,0.34,,72398,,0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +12, two-way)",w_x_cond,0.629159,1.509411,0.42,,72398,,0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +12, two-way)",same_sector,0.033749,0.026093,1.29,,72398,,0.0003,0.0002
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +6)",intercept,-0.003557,0.007868,-0.45,,72398,"175,",0.0004,0.0004
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +6)",w_ij,0.213218,0.186355,1.14,,72398,"175,",0.0004,0.0004
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +6)",conditional,-0.006179,0.005494,-1.12,,72398,"175,",0.0004,0.0004
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +6)",w_x_cond,-0.66591,0.393032,-1.69,*,72398,"175,",0.0004,0.0004
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +6)",same_sector,0.02547,0.008166,3.12,***,72398,"175,",0.0004,0.0004
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +3)",intercept,0.004382,0.005574,0.79,,72398,"175,",0.0009,0.0008
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +3)",w_ij,0.439483,0.139743,3.14,***,72398,"175,",0.0009,0.0008
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +3)",conditional,-0.003754,0.003661,-1.03,,72398,"175,",0.0009,0.0008
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +3)",w_x_cond,-0.332701,0.239951,-1.39,,72398,"175,",0.0009,0.0008
"first_mover (n=179, announcements=179)",VWRETD,EXTENDED SPEC: + Conditional main effect (vwretd),"MONTHLY (extended, +3)",same_sector,0.021534,0.004931,4.37,***,72398,"175,",0.0009,0.0008
